CO2 (ppm),NO2 (ppb),CH4 (ppb)
999.2641901557799,121.54821589509753,3043.7673270063424
1921.142890255866,34.187772325089576,2668.316901676467
1571.190306898248,13.103813437757376,4451.960029286174
1357.8535747152587,189.78221889694132,2941.610645419486
649.6298247078985,193.1298434116044,2698.990430999618
649.5912325379243,161.69862988848058,3536.6274661063953
492.93377946911914,60.992292457756804,2250.9575199192404
1785.8818332398962,19.624655589876138,4367.030338412927
1361.784018789134,136.87818199978017,2038.5620597752666
1532.9161244736729,88.0864834985463,4958.038197121656
432.9351908732839,24.495443145471288,4271.183261749304
1951.855763459191,99.0858643312429,2435.890180909352
1731.9082252806747,6.974265370932157,1817.6707747955277
739.7425770852419,181.87314837554854,4409.476571055469
690.919947531361,51.830118321843386,4061.943500312375
693.4472157654941,132.538204642361,4132.82293773116
886.7875887352603,62.41104411027325,4268.065109395026
1239.6102906115807,104.06159743344438,2036.9428855490892
1091.1120298273852,109.3873848407216,2947.090331341672
865.9666243168671,37.05240565955286,2170.7809904804153
1378.964631555807,193.91996709013526,4561.930962801899
623.1901770432669,155.04905138988678,3794.5540058481856
867.4314376563491,187.9058384186814,2858.8736795284776
986.1789492699068,178.975987350487,2003.3867209152756
1129.7119747472575,119.62020576433592,2795.143429490119
1656.2815382288218,184.38265958112106,2840.586630485591
719.4780514533757,17.78965116017871,4134.739770681805
1222.7751014617786,39.27697419758713,3840.183908336682
1347.863310179268,9.140935053216559,4639.0807762442455
474.32066035199637,65.13353311957654,3311.0877605182377
