H2O (ppm),CO2 (ppm),O3 (ppb),CO (ppm),CH4 (ppm),NO2 (ppb)
23831.59302305216,442.4115465605723,147.8087380047657,21.677322688083983,2.0864413418330514,114.4516060627781
28490.193435117515,525.4689154942702,140.33394993684536,13.798495319928358,2.2055367798538965,140.67437906180712
17602.42171436978,514.8437911870049,72.37680577808676,10.601528084255541,2.70726743321177,141.82270220726906
19051.44114557955,428.81413197782035,90.93106713345477,10.631740031603975,2.1907963967183455,210.20246331682267
16918.151602863276,534.0121397223617,106.8183987205141,15.16884444463689,2.425742091166178,186.24752177771654
21203.100116234393,480.4201121606244,87.17969960339634,4.329338622592838,2.556091758590513,152.91092061204932
18883.828539007587,501.60123439414076,105.1425297894206,16.629767591205542,2.5117670596825312,186.73138264417884
33221.11003861298,518.6723155380671,110.49870843726613,19.71716758990788,2.319550641260691,161.0140104198637
10522.820587853876,547.4730899474137,135.7365510203944,6.112909344240521,2.0428484858864846,183.00783535073708
27566.73446711033,499.89362796138494,164.1305998384466,17.07980781258814,2.7827542380646935,177.2833123799598
17129.049102505487,490.07445424822913,108.79620476224314,22.064170217368638,2.678053493827747,173.54658303689394
21144.84746227163,507.75745254671506,125.28635348080198,18.38493301236768,1.981207202686186,149.95198936157468
35058.915236907436,522.398454556157,24.138812861045864,14.732552420183087,2.717000936930309,187.8958076338544
14714.474752206563,455.1239496905703,91.06774250795281,9.39681120429186,2.557670900255613,155.3106279951022
22945.547961069686,479.9425730571754,103.00646728364777,18.25810022960222,2.4177750386686476,180.1714087793838
15231.145885072048,494.3601285519338,102.87596723961262,15.130688675195586,2.490657700902592,134.3311376835053
29513.255124032985,478.0539593667761,92.43913259442692,17.965113403851557,2.4419235944752256,176.26713254633503
16375.34076890421,493.46585681114846,117.84352435187111,17.9046189756623,2.6923337809389425,183.02092546898854
28663.5589639026,505.9184079623792,81.2755609552715,15.419156760626285,2.4329285749524403,135.07818190474927
20051.880254249365,501.0764636554863,84.29265861006323,12.81663361481842,2.443068095513809,80.25102843677948
35886.58032818163,543.4419429111774,99.70909629723549,15.21240682817799,2.5295452756944012,57.251101974449014
7365.490307608528,482.01719319559993,149.66383133281528,9.585636777214056,2.0294482881275084,154.3698680781513
38966.078998976765,517.6639444085604,113.20952501639258,18.764795520009667,2.297189120637041,77.85705305320546
26471.85205259155,512.7599020272108,73.66816988173902,20.592460235429915,2.2942930585895196,131.96805762232185
13296.788223538491,560.0207605911546,54.87133896103165,13.88525255505396,2.2042263659474153,171.51358704307637
10971.854033980153,583.787264449285,87.90570335470733,10.697480178346744,2.712788112709849,187.71280172874728
25611.14896843201,491.8329671657172,96.6095222606233,16.200819460943766,2.4456300676204314,176.58974109703635
20803.260014228865,506.9576112767352,68.37695785273094,11.036373752346414,2.181648700853283,188.58621385937772
19504.468599256757,489.97161586561475,100.33184846506965,16.13021481150325,2.309757652536998,197.45871448173116
34065.318780404115,505.09974049621627,138.66557285354668,19.214566636064728,2.507680385000606,185.92811918790557
23818.339461012227,501.03262834439704,122.39507920531686,12.010490548779785,2.3871427879698826,165.05951136844206
11767.221079625677,489.16820319575737,148.930231383408,2.5695133331985307,2.3442876465824836,127.50669478366402
31878.079821776715,474.09091092969294,95.93550810579902,21.372486256698995,2.6594146540283243,168.8248241472046
24765.036295035778,488.7519287794775,154.8310231880597,16.42654392431935,2.4129881768423536,147.03724465242811
24831.770375421467,432.64965371027694,135.49359855822783,12.057829387078195,2.8101647368393587,140.11081514333216
24865.280165939123,547.3257078524821,130.5555995534948,9.164928762248795,2.296515456974077,80.88287350330894
23765.843669236747,475.270322075755,87.18012377212558,13.582685376632782,2.4912896532285687,172.64013700778975
18804.938568645248,448.0027428495483,75.75898447270504,21.890623076559393,2.395754640793567,204.73071418587858
23938.62558579264,532.2096553631161,91.88062848265162,9.022740427308278,2.449512795488373,124.12518375168814
