CO2 (ppm),NO2 (ppb),CH4 (ppb)
400.0,122.40939365500365,2190.522351503292
400.0,27.984822744343166,3384.566112356065
400.0,58.49971524219011,1910.0432675686989
400.0,73.33573247440897,4709.8252866521025
400.0,91.26838984498548,2628.0959411200542
400.0,157.0566746824634,3920.071309932742
400.0,40.01478905345611,2797.475443486115
400.0,102.89546423888096,3464.2176677689945
400.0,118.52367231552229,3549.472893898495
400.0,9.385437502727545,2391.5342576816865
400.0,121.54821589509753,4902.6708088465875
400.0,34.187772325089576,4280.425034755566
400.0,13.103813437757376,4806.396613005405
400.0,189.78221889694132,4663.447521368476
400.0,193.1298434116044,3713.2799321954726
400.0,161.69862988848058,4749.997552073974
400.0,60.992292457756804,2083.1760065661424
400.0,19.624655589876138,2427.1451597412647
400.0,136.87818199978017,1944.727324513722
400.0,88.0864834985463,2841.057058442446
